,artist,track,energy,valence
0,Casual,I Didn't Mean To,550.0,550.0
1,The Box Tops,Soul Deep,530.0,970.0
2,La Sonora Santanera,Amor de Cabaret (with Río Roma),520.0,680.0
3,Adam Ant,Something Girls,940.0,850.0
4,Gob,Face the Ashes,920.0,660.0
5,Jeff & Sheri Easter,The Moon And I - Ordinary Day Album Version,470.0,290.0
6,Rated R,Keepin It Real (Skit),180.0,740.0
7,Tweeterfriendly Music,Drop of Rain,300.0,180.0
8,Planet P Project,Pink World,850.0,510.0
9,JennyAnyKind,Young Boy Blues,570.0,200.0
10,Andy CM,La Culpa,530.0,870.0
11,Bob Azzam,Auguri cha-cha-cha,440.0,910.0
12,Lionel Richie,Tonight Will Be Alright,820.0,720.0
13,Blue Rodeo,Floating - Remastered 2012 version,580.0,830.0
14,Richard Souther,High Tide,410.0,640.0
15,Faiz Ali Faiz,Sohna Nee Sohna Data,880.0,930.0
16,Tesla,Caught In A Dream,690.0,360.0
17,Lextrical,Synthetic Dream,590.0,280.0
18,Jimmy Wakely,Broken Down Merry-Go-Round,190.0,560.0
19,Alice Stuart,Kassie Jones,410.0,530.0
20,élena,Setanta matins,370.0,350.0
21,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,990.0,290.0
22,Sue Thompson,James (Hold the Ladder Steady),570.0,960.0
23,Five Bolt Main,Made Like This,990.0,110.0
24,CLP,Superconfidential,860.0,710.0
25,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),880.0,710.0
26,Willie Bobo,Spanish Grease,570.0,860.0
27,Terry Callier,Do You Finally Need A Friend,290.0,190.0
28,John Wesley,The Emperor Falls,570.0,590.0
29,The Shangri-Las,Twist And Shout - Version 2 - Live / Version 2,920.0,710.0
30,Billie Jo Spears,It Makes No Difference Now,410.0,930.0
31,Butthole Surfers,"Barking Dogs - From ""Piouhgd""",900.0,120.0
32,Despina Vandi,Oute Ena Efharisto,630.0,350.0
33,Jacob Young,In a Subtle Way,170.0,630.0
34,The Suicide Machines,Burning In The Aftermath,1000.0,150.0
35,Roberto Torres,Sabor Guajiro,500.0,960.0
36,Loudon Wainwright III,Human Cannonball,180.0,290.0
37,R.L. Burnside,Glory Be,700.0,730.0
38,Stevie Ray Vaughan,Crossfire,720.0,890.0
39,John Hammond,I Can't Be Satisfied,530.0,910.0
40,Casiotone For The Painfully Alone,Nashville Parthenon,420.0,850.0
41,Ec8or,Cocain Ducks,850.0,170.0
42,Lost Boyz,Certain Things We Do,550.0,740.0
43,Yamandú Costa,Mafuá,330.0,840.0
44,Chris Rea,Driving Home for Christmas,660.0,890.0
45,Perrey and Kingsley,Spooks In Space,870.0,200.0
46,Francis Dunnery,Too Much Saturn,820.0,910.0
47,Suzanne Ciani,Stream,420.0,290.0
48,Vickie Winans,Make Me Over v1.1,750.0,690.0
49,The Berzerker,Deform (live),1000.0,50.0
50,Kings of Leon,Wicker Chair,700.0,480.0
51,Various Artists,An ti chans',950.0,910.0
52,Taras,I Will Love Again - JJ's Club Radio,890.0,760.0
53,NOFX,Stickin In My Eye,970.0,230.0
54,Murskahumppa,Ota Kiinni,610.0,290.0
55,Xcultures,Sudanese Dance,800.0,830.0
56,Heavy D,Wanna Be A Player,740.0,730.0
57,Love Generation,Let get it started,530.0,800.0
58,Nine Inch Nails,Metal - Remix Version,360.0,40.0
59,Nadine Renee,Next Time,590.0,280.0
60,Lesley Gore,I Can't Make It Without You,320.0,300.0
61,Smartbomb,Complicate It,950.0,830.0
62,Suburbs,Monde de fou,920.0,850.0
63,Julien Clerc,This Melody - Live,490.0,500.0
64,T.G. Sheppard,You Feel Good All Over - Rerecorded,300.0,340.0
65,Slim Whitman,Indian Love Call,260.0,390.0
66,Savage Garden,You Can Still Be Free,360.0,40.0
67,Queens of the Stone Age,I Never Came,520.0,560.0
68,Hank Penny and The Lincoln Penny Orchestra,Dixie,300.0,660.0
69,Inspiral Carpets,Commercial Reign,900.0,760.0
70,Borialis,Hourglass - Edited,940.0,710.0
71,The Dirty Skirts,Wake,930.0,560.0
72,Flor Silvestre,Caricia Y Herida,490.0,900.0
73,Redman,WKYA (Drop),660.0,850.0
74,Schizoid,Grim Prospects - Gross Prospects - Bad Trip Remix,1000.0,40.0
75,Kai Winding,Mangos,470.0,690.0
76,Sonny Simmons,A Distant Voice,10.0,80.0
77,Mira,Openbare Weg,340.0,180.0
78,Various Artists,President Johnson - Original Mix,800.0,330.0
79,Ellen McIlwaine,Spontanous Combustion,590.0,760.0
80,Vince Guaraldi,Choro,400.0,790.0
81,Maurice Chevalier,Ma Louise,280.0,490.0
82,Carl Cox vs Yousef,I Want You (Forever) - Yousef's Tribute Mix,970.0,290.0
83,Organized Konfusion,Hate,480.0,660.0
84,Martina McBride,I Can't Stop Loving You,240.0,360.0
85,Horace Andy,Thank You Lord,560.0,870.0
86,Tyrone Davis,Cheatin' In the Next Room,440.0,710.0
87,Hot Tuna,Candy Man,410.0,650.0
88,Richard Burton,I See the Boys of Summer,40.0,430.0
89,Rory Block,Three Is a Crowd,230.0,340.0
90,Boyz II Men,On Bended Knee,530.0,200.0
91,Howard Armstrong,My Four Reasons,420.0,930.0
92,Miguel Gallardo,Eternamente Ámame,460.0,350.0
93,Les Ogres De Barback,Niev nietch nievitch - Instrumental,760.0,930.0
94,Wolfmother,White Feather,860.0,650.0
95,The Roches,Christlike Roche,120.0,160.0
96,Bob Margolin,You Rascal You,350.0,960.0
97,The Verve Pipe,Medicate Myself,780.0,420.0
98,Bob Neuwirth,Biding Her Time,60.0,330.0
99,James Hunter,Cowboy Ways,650.0,700.0
100,Nelson Ned,Brasas Vivas,330.0,370.0
101,Maxi Priest,Groovin' In The Midnight,640.0,560.0
102,Porcupine Tree,Waiting Phase One,440.0,460.0
103,Foo Fighters,Hell,940.0,310.0
104,Brazilian Tropical Orchestra,One Less Bell to Answer,390.0,220.0
105,Gil Semedo,Festa,910.0,960.0
106,Soda Stereo,Te Hacen Falta Vitaminas - Remasterizado 2007,970.0,950.0
107,Xmilk,Sense And Trick,940.0,580.0
108,Britt Nicole,Hanging On - Medium Key Performance Track Without Background Vocals,430.0,480.0
109,Schizoid,Grim Prospects - Version 2 Remix,950.0,70.0
110,Perrey and Kingsley,Gossippo Perpetuo,860.0,960.0
111,Sven Tasnadi,2190 Dias Contigo,340.0,350.0
112,Eddie Money,No Control,600.0,710.0
113,Enthroned,The Vitalized Shell,990.0,30.0
114,Suzanne Ciani,Meeting Mozart,110.0,80.0
115,Milan Band,Ciao Milan,660.0,730.0
116,Various Artists,Lend Me Your Chopper,680.0,550.0
117,Dolly Parton,Letter to Heaven,80.0,570.0
118,Rance Allen Group,Heaven Is Where The Heart Is,300.0,390.0
119,Pearl Jam,Inside Job,490.0,70.0
120,Kiril Valeri,Bulgarian Dream - Feat. Boika Prissadova,910.0,500.0
121,Word,Amalgama,890.0,740.0
122,DJ Quik,Born and Raised In Compton,440.0,860.0
123,The Jordanaires,Sweet By And By,240.0,480.0
124,Descendents,Orgofart,210.0,40.0
125,L.A. Guns,Bitch Is Back,930.0,420.0
126,Bare Jr.,Naked Albino,710.0,370.0
127,Gary Hobbs,The Look Of Love,520.0,710.0
128,Diesel Boy,Cooler Than You,970.0,740.0
129,Cradle Of Filth,Summer Dying Fast,950.0,60.0
130,Jim Chappell,Still,110.0,40.0
131,Nine Inch Nails,The Frail,0.0,200.0
132,Susana Seivane,Para Milladoiro,490.0,220.0
133,Test Icicles,Snowball,930.0,650.0
134,Heaven 17,(We Don't Need This) Fascist Groove Thang - Remastered 2006,930.0,680.0
135,Mance Lipscomb,Going Down Slow,70.0,670.0
136,Scott Wesley Brown,All Rise,310.0,80.0
137,Moss,Silent Hill,700.0,130.0
138,Various Artists,Our Love is Here to Stay,300.0,450.0
139,Soular,Everything Changes,710.0,220.0
140,Dimmu Borgir,Master Of Disharmony,960.0,120.0
141,Public Image Ltd.,This Is Not a Love Song / Poptones - Live at O2 Shepherd's Bush Empire,700.0,440.0
142,Gary Moore,What Are We Here For,740.0,440.0
143,Pascal Sangla,Une petite pause,270.0,300.0
144,The B-52's,Wig,940.0,800.0
145,Dakis,Perasmena Mesanihta,540.0,540.0
146,Sex Pistols,"God Save The Queen - Live From Finsbury Park,London,United Kingdom/1996",980.0,240.0
147,Chris Brown,Forever,820.0,440.0
148,Hem,Have Yourself A Merry Little Christmas,70.0,330.0
149,Lily Allen,U Killed It,650.0,600.0
150,Pentangle,Rain and Snow,660.0,860.0
151,DJ Dips,Gerra De De,900.0,920.0
152,Various Artists,Kako Mi Je Pitas Sad,530.0,920.0
153,Jason Miles,Voices On The Corner,530.0,540.0
154,Busdriver,(Bloody Paw On The) Kill Floor,840.0,730.0
155,Byther Smith,I Wish My Mother Was Here,510.0,780.0
156,Bebo Valdés,Inolvidable - En Vivo,340.0,490.0
157,Bizarre Inc,Miracle,790.0,400.0
